F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
5.182497e-01,688,3.251136e+00,744,4.742778e-01,2.154936e+00,1.867821e-01,6.816051e-01,3.683228e+00
5.200529e-01,688,3.233895e+00,745,4.787606e-01,2.223282e+00,1.858185e-01,6.775266e-01,3.898264e+00
NaN,NaN,3.232832e+00,742,5.870451e-01,1.921885e+00,1.963501e-01,7.141665e-01,3.145103e+00
NaN,NaN,3.582611e+00,743,5.348376e-01,2.267109e+00,2.080808e-01,7.594563e-01,3.781175e+00
5.830309e-01,688,3.657528e+00,744,5.335625e-01,2.424303e+00,2.101299e-01,7.668057e-01,4.143632e+00
5.850595e-01,688,3.638132e+00,745,5.386057e-01,2.501193e+00,2.090458e-01,7.622174e-01,4.385547e+00
NaN,NaN,3.592036e+00,742,6.522723e-01,2.135428e+00,2.181668e-01,7.935183e-01,3.494559e+00
NaN,NaN,3.980679e+00,743,5.942640e-01,2.519010e+00,2.312009e-01,8.438403e-01,4.201306e+00
6.478121e-01,688,4.063920e+00,744,5.928472e-01,2.693670e+00,2.334776e-01,8.520064e-01,4.604036e+00
6.500662e-01,688,4.042369e+00,745,5.984507e-01,2.779103e+00,2.322731e-01,8.469082e-01,4.872830e+00
NaN,NaN,3.951239e+00,742,7.174996e-01,2.348970e+00,2.399834e-01,8.728701e-01,3.844015e+00
NaN,NaN,4.378747e+00,743,6.536904e-01,2.770910e+00,2.543210e-01,9.282244e-01,4.621437e+00
7.125933e-01,688,4.470312e+00,744,6.521319e-01,2.963037e+00,2.568254e-01,9.372070e-01,5.064439e+00
7.150728e-01,688,4.446606e+00,745,6.582958e-01,3.057013e+00,2.555004e-01,9.315990e-01,5.360113e+00
NaN,NaN,1.829913e+00,742,3.302116e-01,1.092427e+00,1.109908e-01,3.987263e-01,1.772268e+00
NaN,NaN,2.016738e+00,743,3.009192e-01,1.282920e+00,1.172543e-01,4.229631e-01,2.122952e+00
3.280948e-01,688,2.054388e+00,744,3.002883e-01,1.368924e+00,1.182905e-01,4.267011e-01,2.324004e+00
3.293139e-01,688,2.041119e+00,745,3.031733e-01,1.410219e+00,1.176238e-01,4.239666e-01,2.458464e+00
NaN,NaN,2.195895e+00,742,3.962539e-01,1.310913e+00,1.331889e-01,4.784716e-01,2.126722e+00
NaN,NaN,2.420086e+00,743,3.611030e-01,1.539504e+00,1.407051e-01,5.075557e-01,2.547543e+00
3.937137e-01,688,2.465265e+00,744,3.603460e-01,1.642709e+00,1.419486e-01,5.120413e-01,2.788804e+00
3.951767e-01,688,2.449343e+00,745,3.638080e-01,1.692263e+00,1.411486e-01,5.087599e-01,2.950157e+00
NaN,NaN,2.561878e+00,742,4.622962e-01,1.529398e+00,1.553871e-01,5.582169e-01,2.481176e+00
NaN,NaN,2.823433e+00,743,4.212868e-01,1.796089e+00,1.641560e-01,5.921484e-01,2.972133e+00
4.593327e-01,688,2.876143e+00,744,4.204036e-01,1.916494e+00,1.656068e-01,5.973815e-01,3.253605e+00
4.610395e-01,688,2.857567e+00,745,4.244426e-01,1.974306e+00,1.646734e-01,5.935532e-01,3.441850e+00
NaN,NaN,2.927860e+00,742,5.283386e-01,1.747884e+00,1.775852e-01,6.379621e-01,2.835629e+00
NaN,NaN,3.226781e+00,743,4.814707e-01,2.052673e+00,1.876069e-01,6.767410e-01,3.396723e+00
5.249517e-01,688,3.287021e+00,744,4.804613e-01,2.190278e+00,1.892649e-01,6.827217e-01,3.718406e+00
5.269023e-01,688,3.265791e+00,745,4.850773e-01,2.256350e+00,1.881982e-01,6.783465e-01,3.933543e+00
NaN,NaN,3.293843e+00,742,5.943809e-01,1.966369e+00,1.997834e-01,7.177074e-01,3.190083e+00
NaN,NaN,3.630129e+00,743,5.416545e-01,2.309257e+00,2.110577e-01,7.613336e-01,3.821314e+00
5.905706e-01,688,3.697898e+00,744,5.405190e-01,2.464063e+00,2.129230e-01,7.680620e-01,4.183206e+00
5.927651e-01,688,3.674015e+00,745,5.457119e-01,2.538394e+00,2.117229e-01,7.631398e-01,4.425236e+00
NaN,NaN,3.659825e+00,742,6.604232e-01,2.184854e+00,2.219815e-01,7.974526e-01,3.544537e+00
NaN,NaN,4.033476e+00,743,6.018383e-01,2.565841e+00,2.345086e-01,8.459262e-01,4.245904e+00
6.561896e-01,688,4.108776e+00,744,6.005766e-01,2.737848e+00,2.365811e-01,8.534022e-01,4.648007e+00
6.586279e-01,688,4.082239e+00,745,6.063466e-01,2.820438e+00,2.352477e-01,8.479332e-01,4.916929e+00
NaN,NaN,4.025808e+00,742,7.264655e-01,2.403340e+00,2.441797e-01,8.771979e-01,3.898990e+00
NaN,NaN,4.436824e+00,743,6.620221e-01,2.822425e+00,2.579594e-01,9.305189e-01,4.670495e+00
7.218085e-01,688,4.519653e+00,744,6.606343e-01,3.011633e+00,2.602392e-01,9.387424e-01,5.112808e+00
7.244907e-01,688,4.490463e+00,745,6.669813e-01,3.102481e+00,2.587725e-01,9.327265e-01,5.408621e+00
NaN,NaN,1.364176e+00,741,3.085889e-01,7.863565e-01,8.653183e-02,3.515197e-01,1.374497e+00
NaN,NaN,1.592558e+00,742,2.782734e-01,9.624435e-01,9.489834e-02,3.840554e-01,1.699524e+00
3.017794e-01,689,1.670176e+00,743,2.749383e-01,1.048472e+00,9.724773e-02,3.922622e-01,1.877485e+00
3.006849e-01,688,1.691938e+00,744,2.760690e-01,1.096590e+00,9.762196e-02,3.927009e-01,1.993947e+00
NaN,NaN,1.637011e+00,741,3.703067e-01,9.436278e-01,1.038382e-01,4.218236e-01,1.649397e+00
