#aerodynamicresistance(ra),raforsoil,rss,ustar
#s m-1,s m-1,s m-1,m s-1
8.165755e+00,1.473562e+02,500,2.865601e-01
8.184040e+00,1.476155e+02,500,2.860202e-01
8.173399e+00,1.474646e+02,500,2.863341e-01
8.168387e+00,1.473935e+02,500,2.864823e-01
8.165755e+00,1.473562e+02,500,2.865601e-01
8.515276e+00,5.937462e+02,500,2.758624e-01
8.508392e+00,5.933462e+02,500,2.760516e-01
8.505074e+00,5.931534e+02,500,2.761429e-01
8.503573e+00,5.930661e+02,500,2.761842e-01
8.515276e+00,5.937462e+02,500,2.758624e-01
8.508392e+00,5.933462e+02,500,2.760516e-01
8.505074e+00,5.931534e+02,500,2.761429e-01
8.503573e+00,5.930661e+02,500,2.761842e-01
8.515276e+00,5.937462e+02,500,2.758624e-01
8.508392e+00,5.933462e+02,500,2.760516e-01
8.505074e+00,5.931534e+02,500,2.761429e-01
8.503573e+00,5.930661e+02,500,2.761842e-01
8.515276e+00,5.937462e+02,500,2.758624e-01
8.508392e+00,5.933462e+02,500,2.760516e-01
8.505074e+00,5.931534e+02,500,2.761429e-01
8.503573e+00,5.930661e+02,500,2.761842e-01
8.515276e+00,5.937462e+02,500,2.758624e-01
8.508392e+00,5.933462e+02,500,2.760516e-01
8.505074e+00,5.931534e+02,500,2.761429e-01
8.503573e+00,5.930661e+02,500,2.761842e-01
8.515276e+00,5.937462e+02,500,2.758624e-01
8.508392e+00,5.933462e+02,500,2.760516e-01
8.505074e+00,5.931534e+02,500,2.761429e-01
8.503573e+00,5.930661e+02,500,2.761842e-01
8.515276e+00,5.937462e+02,500,2.758624e-01
8.508392e+00,5.933462e+02,500,2.760516e-01
8.505074e+00,5.931534e+02,500,2.761429e-01
8.503573e+00,5.930661e+02,500,2.761842e-01
8.823432e+00,2.794356e+03,500,2.671626e-01
8.821654e+00,2.793879e+03,500,2.672084e-01
8.820624e+00,2.793603e+03,500,2.672349e-01
8.820526e+00,2.793576e+03,500,2.672374e-01
8.823432e+00,2.794356e+03,500,2.671626e-01
8.821654e+00,2.793879e+03,500,2.672084e-01
8.820624e+00,2.793603e+03,500,2.672349e-01
8.820526e+00,2.793576e+03,500,2.672374e-01
8.823432e+00,2.794356e+03,500,2.671626e-01
8.821654e+00,2.793879e+03,500,2.672084e-01
8.820624e+00,2.793603e+03,500,2.672349e-01
8.820526e+00,2.793576e+03,500,2.672374e-01
8.823432e+00,2.794356e+03,500,2.671626e-01
8.821654e+00,2.793879e+03,500,2.672084e-01
8.820624e+00,2.793603e+03,500,2.672349e-01
8.820526e+00,2.793576e+03,500,2.672374e-01
8.823432e+00,2.794356e+03,500,2.671626e-01
8.821654e+00,2.793879e+03,500,2.672084e-01
8.820624e+00,2.793603e+03,500,2.672349e-01
8.820526e+00,2.793576e+03,500,2.672374e-01
8.823432e+00,2.794356e+03,500,2.671626e-01
8.821654e+00,2.793879e+03,500,2.672084e-01
8.820624e+00,2.793603e+03,500,2.672349e-01
8.820526e+00,2.793576e+03,500,2.672374e-01
8.823432e+00,2.794356e+03,500,2.671626e-01
8.821654e+00,2.793879e+03,500,2.672084e-01
8.820624e+00,2.793603e+03,500,2.672349e-01
8.820526e+00,2.793576e+03,500,2.672374e-01
7.543415e+00,4.977516e+01,500,3.077102e-01
7.525621e+00,4.969655e+01,500,3.083195e-01
7.517118e+00,4.965897e+01,500,3.086117e-01
7.512021e+00,4.963644e+01,500,3.087871e-01
7.543415e+00,4.977516e+01,500,3.077102e-01
7.525621e+00,4.969655e+01,500,3.083195e-01
7.517118e+00,4.965897e+01,500,3.086117e-01
7.512021e+00,4.963644e+01,500,3.087871e-01
7.543415e+00,4.977516e+01,500,3.077102e-01
7.525621e+00,4.969655e+01,500,3.083195e-01
7.517118e+00,4.965897e+01,500,3.086117e-01
7.512021e+00,4.963644e+01,500,3.087871e-01
7.543415e+00,4.977516e+01,500,3.077102e-01
7.525621e+00,4.969655e+01,500,3.083195e-01
7.517118e+00,4.965897e+01,500,3.086117e-01
7.512021e+00,4.963644e+01,500,3.087871e-01
7.543415e+00,4.977516e+01,500,3.077102e-01
7.525621e+00,4.969655e+01,500,3.083195e-01
7.517118e+00,4.965897e+01,500,3.086117e-01
7.512021e+00,4.963644e+01,500,3.087871e-01
7.543415e+00,4.977516e+01,500,3.077102e-01
7.525621e+00,4.969655e+01,500,3.083195e-01
7.517118e+00,4.965897e+01,500,3.086117e-01
7.512021e+00,4.963644e+01,500,3.087871e-01
7.543415e+00,4.977516e+01,500,3.077102e-01
7.525621e+00,4.969655e+01,500,3.083195e-01
7.517118e+00,4.965897e+01,500,3.086117e-01
7.512021e+00,4.963644e+01,500,3.087871e-01
8.181678e+00,1.475820e+02,500,2.860898e-01
8.169944e+00,1.474156e+02,500,2.864362e-01
8.164511e+00,1.473385e+02,500,2.865969e-01
8.161655e+00,1.472980e+02,500,2.866815e-01
8.181678e+00,1.475820e+02,500,2.860898e-01
8.169944e+00,1.474156e+02,500,2.864362e-01
8.164511e+00,1.473385e+02,500,2.865969e-01
8.161655e+00,1.472980e+02,500,2.866815e-01
8.181678e+00,1.475820e+02,500,2.860898e-01
8.169944e+00,1.474156e+02,500,2.864362e-01
8.164511e+00,1.473385e+02,500,2.865969e-01
8.161655e+00,1.472980e+02,500,2.866815e-01
8.181678e+00,1.475820e+02,500,2.860898e-01
8.169944e+00,1.474156e+02,500,2.864362e-01
8.164511e+00,1.473385e+02,500,2.865969e-01
8.161655e+00,1.472980e+02,500,2.866815e-01
8.181678e+00,1.475820e+02,500,2.860898e-01
8.169944e+00,1.474156e+02,500,2.864362e-01
8.164511e+00,1.473385e+02,500,2.865969e-01
8.161655e+00,1.472980e+02,500,2.866815e-01
8.181678e+00,1.475820e+02,500,2.860898e-01
8.169944e+00,1.474156e+02,500,2.864362e-01
8.164511e+00,1.473385e+02,500,2.865969e-01
8.161655e+00,1.472980e+02,500,2.866815e-01
8.181678e+00,1.475820e+02,500,2.860898e-01
8.169944e+00,1.474156e+02,500,2.864362e-01
8.164511e+00,1.473385e+02,500,2.865969e-01
8.161655e+00,1.472980e+02,500,2.866815e-01
8.517664e+00,5.938850e+02,500,2.757969e-01
8.509577e+00,5.934151e+02,500,2.760190e-01
8.505807e+00,5.931960e+02,500,2.761227e-01
8.504065e+00,5.930948e+02,500,2.761706e-01
8.517664e+00,5.938850e+02,500,2.757969e-01
8.509577e+00,5.934151e+02,500,2.760190e-01
8.505807e+00,5.931960e+02,500,2.761227e-01
8.504065e+00,5.930948e+02,500,2.761706e-01
8.517664e+00,5.938850e+02,500,2.757969e-01
8.509577e+00,5.934151e+02,500,2.760190e-01
8.505807e+00,5.931960e+02,500,2.761227e-01
8.504065e+00,5.930948e+02,500,2.761706e-01
8.517664e+00,5.938850e+02,500,2.757969e-01
8.509577e+00,5.934151e+02,500,2.760190e-01
8.505807e+00,5.931960e+02,500,2.761227e-01
8.504065e+00,5.930948e+02,500,2.761706e-01
8.517664e+00,5.938850e+02,500,2.757969e-01
8.509577e+00,5.934151e+02,500,2.760190e-01
8.505807e+00,5.931960e+02,500,2.761227e-01
8.504065e+00,5.930948e+02,500,2.761706e-01
8.517664e+00,5.938850e+02,500,2.757969e-01
8.509577e+00,5.934151e+02,500,2.760190e-01
8.505807e+00,5.931960e+02,500,2.761227e-01
8.504065e+00,5.930948e+02,500,2.761706e-01
8.517664e+00,5.938850e+02,500,2.757969e-01
8.509577e+00,5.934151e+02,500,2.760190e-01
8.505807e+00,5.931960e+02,500,2.761227e-01
8.504065e+00,5.930948e+02,500,2.761706e-01
8.829315e+00,2.795934e+03,500,2.670113e-01
8.826274e+00,2.795118e+03,500,2.670895e-01
8.824985e+00,2.794773e+03,500,2.671226e-01
8.824638e+00,2.794680e+03,500,2.671316e-01
8.829315e+00,2.795934e+03,500,2.670113e-01
8.826274e+00,2.795118e+03,500,2.670895e-01
8.824985e+00,2.794773e+03,500,2.671226e-01
8.824638e+00,2.794680e+03,500,2.671316e-01
8.829315e+00,2.795934e+03,500,2.670113e-01
8.826274e+00,2.795118e+03,500,2.670895e-01
8.824985e+00,2.794773e+03,500,2.671226e-01
8.824638e+00,2.794680e+03,500,2.671316e-01
8.829315e+00,2.795934e+03,500,2.670113e-01
8.826274e+00,2.795118e+03,500,2.670895e-01
8.824985e+00,2.794773e+03,500,2.671226e-01
8.824638e+00,2.794680e+03,500,2.671316e-01
8.829315e+00,2.795934e+03,500,2.670113e-01
8.826274e+00,2.795118e+03,500,2.670895e-01
8.824985e+00,2.794773e+03,500,2.671226e-01
8.824638e+00,2.794680e+03,500,2.671316e-01
8.829315e+00,2.795934e+03,500,2.670113e-01
8.826274e+00,2.795118e+03,500,2.670895e-01
8.824985e+00,2.794773e+03,500,2.671226e-01
8.824638e+00,2.794680e+03,500,2.671316e-01
8.829315e+00,2.795934e+03,500,2.670113e-01
8.826274e+00,2.795118e+03,500,2.670895e-01
8.824985e+00,2.794773e+03,500,2.671226e-01
8.824638e+00,2.794680e+03,500,2.671316e-01
7.540163e+00,4.976080e+01,500,3.078213e-01
7.521790e+00,4.967962e+01,500,3.084511e-01
7.513071e+00,4.964108e+01,500,3.087510e-01
7.507863e+00,4.961805e+01,500,3.089304e-01
7.540163e+00,4.976080e+01,500,3.078213e-01
7.521790e+00,4.967962e+01,500,3.084511e-01
7.513071e+00,4.964108e+01,500,3.087510e-01
7.507863e+00,4.961805e+01,500,3.089304e-01
7.540163e+00,4.976080e+01,500,3.078213e-01
7.521790e+00,4.967962e+01,500,3.084511e-01
7.513071e+00,4.964108e+01,500,3.087510e-01
7.507863e+00,4.961805e+01,500,3.089304e-01
7.540163e+00,4.976080e+01,500,3.078213e-01
7.521790e+00,4.967962e+01,500,3.084511e-01
7.513071e+00,4.964108e+01,500,3.087510e-01
7.507863e+00,4.961805e+01,500,3.089304e-01
7.540163e+00,4.976080e+01,500,3.078213e-01
7.521790e+00,4.967962e+01,500,3.084511e-01
7.513071e+00,4.964108e+01,500,3.087510e-01
7.507863e+00,4.961805e+01,500,3.089304e-01
7.540163e+00,4.976080e+01,500,3.078213e-01
7.521790e+00,4.967962e+01,500,3.084511e-01
7.513071e+00,4.964108e+01,500,3.087510e-01
7.507863e+00,4.961805e+01,500,3.089304e-01
7.540163e+00,4.976080e+01,500,3.078213e-01
7.521790e+00,4.967962e+01,500,3.084511e-01
7.513071e+00,4.964108e+01,500,3.087510e-01
7.507863e+00,4.961805e+01,500,3.089304e-01
8.179337e+00,1.475488e+02,500,2.861588e-01
8.166415e+00,1.473656e+02,500,2.865406e-01
8.160526e+00,1.472820e+02,500,2.867150e-01
8.157428e+00,1.472381e+02,500,2.868068e-01
8.179337e+00,1.475488e+02,500,2.861588e-01
8.166415e+00,1.473656e+02,500,2.865406e-01
8.160526e+00,1.472820e+02,500,2.867150e-01
8.157428e+00,1.472381e+02,500,2.868068e-01
8.179337e+00,1.475488e+02,500,2.861588e-01
8.166415e+00,1.473656e+02,500,2.865406e-01
8.160526e+00,1.472820e+02,500,2.867150e-01
8.157428e+00,1.472381e+02,500,2.868068e-01
8.179337e+00,1.475488e+02,500,2.861588e-01
8.166415e+00,1.473656e+02,500,2.865406e-01
8.160526e+00,1.472820e+02,500,2.867150e-01
8.157428e+00,1.472381e+02,500,2.868068e-01
8.179337e+00,1.475488e+02,500,2.861588e-01
8.166415e+00,1.473656e+02,500,2.865406e-01
8.160526e+00,1.472820e+02,500,2.867150e-01
8.157428e+00,1.472381e+02,500,2.868068e-01
8.179337e+00,1.475488e+02,500,2.861588e-01
8.166415e+00,1.473656e+02,500,2.865406e-01
8.160526e+00,1.472820e+02,500,2.867150e-01
8.157428e+00,1.472381e+02,500,2.868068e-01
8.179337e+00,1.475488e+02,500,2.861588e-01
8.166415e+00,1.473656e+02,500,2.865406e-01
8.160526e+00,1.472820e+02,500,2.867150e-01
8.157428e+00,1.472381e+02,500,2.868068e-01
8.520571e+00,5.940539e+02,500,2.757171e-01
8.511191e+00,5.935088e+02,500,2.759746e-01
8.506939e+00,5.932618e+02,500,2.760916e-01
8.504942e+00,5.931457e+02,500,2.761465e-01
8.520571e+00,5.940539e+02,500,2.757171e-01
8.511191e+00,5.935088e+02,500,2.759746e-01
8.506939e+00,5.932618e+02,500,2.760916e-01
8.504942e+00,5.931457e+02,500,2.761465e-01
8.520571e+00,5.940539e+02,500,2.757171e-01
8.511191e+00,5.935088e+02,500,2.759746e-01
8.506939e+00,5.932618e+02,500,2.760916e-01
8.504942e+00,5.931457e+02,500,2.761465e-01
8.520571e+00,5.940539e+02,500,2.757171e-01
8.511191e+00,5.935088e+02,500,2.759746e-01
8.506939e+00,5.932618e+02,500,2.760916e-01
8.504942e+00,5.931457e+02,500,2.761465e-01
8.520571e+00,5.940539e+02,500,2.757171e-01
8.511191e+00,5.935088e+02,500,2.759746e-01
8.506939e+00,5.932618e+02,500,2.760916e-01
8.504942e+00,5.931457e+02,500,2.761465e-01
8.520571e+00,5.940539e+02,500,2.757171e-01
8.511191e+00,5.935088e+02,500,2.759746e-01
8.506939e+00,5.932618e+02,500,2.760916e-01
8.504942e+00,5.931457e+02,500,2.761465e-01
8.520571e+00,5.940539e+02,500,2.757171e-01
8.511191e+00,5.935088e+02,500,2.759746e-01
8.506939e+00,5.932618e+02,500,2.760916e-01
8.504942e+00,5.931457e+02,500,2.761465e-01
8.835997e+00,2.797726e+03,500,2.668396e-01
8.834756e+00,2.797393e+03,500,2.668715e-01
8.832938e+00,2.796906e+03,500,2.669182e-01
8.832312e+00,2.796738e+03,500,2.669342e-01
8.835997e+00,2.797726e+03,500,2.668396e-01
8.834756e+00,2.797393e+03,500,2.668715e-01
8.832938e+00,2.796906e+03,500,2.669182e-01
8.832312e+00,2.796738e+03,500,2.669342e-01
8.835997e+00,2.797726e+03,500,2.668396e-01
8.834756e+00,2.797393e+03,500,2.668715e-01
8.832938e+00,2.796906e+03,500,2.669182e-01
8.832312e+00,2.796738e+03,500,2.669342e-01
8.835997e+00,2.797726e+03,500,2.668396e-01
8.834756e+00,2.797393e+03,500,2.668715e-01
8.832938e+00,2.796906e+03,500,2.669182e-01
8.832312e+00,2.796738e+03,500,2.669342e-01
8.835997e+00,2.797726e+03,500,2.668396e-01
8.834756e+00,2.797393e+03,500,2.668715e-01
8.832938e+00,2.796906e+03,500,2.669182e-01
8.832312e+00,2.796738e+03,500,2.669342e-01
8.835997e+00,2.797726e+03,500,2.668396e-01
8.834756e+00,2.797393e+03,500,2.668715e-01
8.832938e+00,2.796906e+03,500,2.669182e-01
8.832312e+00,2.796738e+03,500,2.669342e-01
8.835997e+00,2.797726e+03,500,2.668396e-01
8.834756e+00,2.797393e+03,500,2.668715e-01
8.832938e+00,2.796906e+03,500,2.669182e-01
8.832312e+00,2.796738e+03,500,2.669342e-01
7.536272e+00,4.974361e+01,500,3.079544e-01
7.517221e+00,4.965943e+01,500,3.086081e-01
7.508247e+00,4.961975e+01,500,3.089172e-01
7.467566e+00,4.943972e+01,500,3.103273e-01
7.536272e+00,4.974361e+01,500,3.079544e-01
7.517221e+00,4.965943e+01,500,3.086081e-01
7.508247e+00,4.961975e+01,500,3.089172e-01
7.467566e+00,4.943972e+01,500,3.103273e-01
7.536272e+00,4.974361e+01,500,3.079544e-01
7.517221e+00,4.965943e+01,500,3.086081e-01
